Cauldron_ID,Median_Rate_Change_units_per_min,Fill_Rate_units_per_min,Drain_Rate_units_per_day,Fill_Rate_units_per_day
cauldron_001,0.35910067547712504,0.07874462839027828,630.4972375690608,113.39226488200072
cauldron_002,0.38618971649425216,0.06231473408892764,645.8464088397789,89.7332170880558
cauldron_003,0.3533256721619166,0.08586628935267065,632.4364245810057,123.64745666784574
cauldron_004,0.3796863315378173,0.0693191933240612,646.5679558011051,99.81963838664812
cauldron_005,0.3765190151493731,0.07312002892263196,647.4802234636873,105.29284164859003
cauldron_006,0.40483225111219745,0.05364426822481913,660.2061878453038,77.24774624373954
cauldron_007,0.34425458522108876,0.09496932515337424,632.4824309392268,136.7558282208589
cauldron_008,0.4136304007364921,0.030324401523395002,639.2949152542374,43.6671381936888
cauldron_009,0.2987608313807714,0.13913725779120312,630.5732484076433,200.3576512193325
cauldron_010,0.3762281062436228,0.07228018104919494,645.8519337016576,104.08346071084071
cauldron_011,0.3565979434712964,0.08673538986203688,638.4,124.89896140133311
cauldron_012,0.38591358806558285,0.0631975230455281,646.7199999999998,91.00443318556046
